Ramal,Id Origen,Origen,Id Destino,Destino,Pax,lon_origen,lat_origen,lon_destino,lat_destino,dist_retiro
Retiro - Tigre,4,Rivadavia,39,L. de la Torre,9066,"-58,4683","-34,5362","-58,4367","-34,5625","11,124"
Retiro - Tigre,4,Rivadavia,40,Belgrano C,55838,"-58,4683","-34,5362","-58,4495","-34,5584","11,124"
Retiro - Tigre,4,Rivadavia,41,Nuñez,8399,"-58,4683","-34,5362","-58,4624","-34,5489","11,124"
Retiro - Tigre,4,Rivadavia,42,Rivadavia,1729,"-58,4683","-34,5362","-58,4683","-34,5362","11,124"
Retiro - Tigre,4,Rivadavia,43,Vicente Lopez,9289,"-58,4683","-34,5362","-58,4728","-34,5242","11,124"
Retiro - Tigre,4,Rivadavia,44,Olivos,22860,"-58,4683","-34,5362","-58,4801","-34,5082","11,124"
Retiro - Tigre,4,Rivadavia,45,La Lucila,11996,"-58,4683","-34,5362","-58,4887","-34,4972","11,124"
Retiro - Tigre,4,Rivadavia,46,Martinez,27964,"-58,4683","-34,5362","-58,4970","-34,4877","11,124"
Retiro - Tigre,4,Rivadavia,47,Acassuso,13654,"-58,4683","-34,5362","-58,5038","-34,4797","11,124"
Retiro - Tigre,4,Rivadavia,48,San Isidro,47935,"-58,4683","-34,5362","-58,5138","-34,4714","11,124"
Retiro - Tigre,4,Rivadavia,49,Beccar,12523,"-58,4683","-34,5362","-58,5261","-34,4612","11,124"
Retiro - Tigre,4,Rivadavia,50,Victoria,9673,"-58,4683","-34,5362","-58,5408","-34,4566","11,124"
Retiro - Tigre,4,Rivadavia,51,Virreyes,9509,"-58,4683","-34,5362","-58,5506","-34,4507","11,124"
Retiro - Tigre,4,Rivadavia,52,San Fernando,10262,"-58,4683","-34,5362","-58,5592","-34,4439","11,124"
Retiro - Tigre,4,Rivadavia,53,Carupa,6031,"-58,4683","-34,5362","-58,5671","-34,4377","11,124"
Retiro - Tigre,4,Rivadavia,54,Tigre,26089,"-58,4683","-34,5362","-58,5819","-34,4235","11,124"
Retiro - Tigre,5,Vicente Lopez,38,Retiro (Tigre),200145,"-58,4728","-34,5242","-58,3752","-34,5913","12,475"
